time_ns,clk,reset,sw,hsync,vsync,led,vgaR,vgaG,vgaB,pix_en,video_on,x,y
41792195.000,1,0,5,1,1,6,15,15,15,1,1,0,256
41824195.000,1,0,5,1,1,6,15,15,15,1,1,0,257
41856195.000,1,0,5,1,1,6,15,15,15,1,1,0,258
41888195.000,1,0,5,1,1,6,15,15,15,1,1,0,259
41920195.000,1,0,5,1,1,6,15,15,15,1,1,0,260
41952195.000,1,0,5,1,1,6,15,15,15,1,1,0,261
41984195.000,1,0,5,1,1,6,15,15,15,1,1,0,262
42016195.000,1,0,5,1,1,6,15,15,15,1,1,0,263
42048195.000,1,0,5,1,1,6,15,15,15,1,1,0,264
42080195.000,1,0,5,1,1,6,15,15,15,1,1,0,265
42112195.000,1,0,5,1,1,6,15,15,15,1,1,0,266
42144195.000,1,0,5,1,1,6,15,15,15,1,1,0,267
42176195.000,1,0,5,1,1,6,15,15,15,1,1,0,268
42208195.000,1,0,5,1,1,6,15,15,15,1,1,0,269
42240195.000,1,0,5,1,1,6,15,15,15,1,1,0,270
42272195.000,1,0,5,1,1,6,15,15,15,1,1,0,271
42304195.000,1,0,5,1,1,6,15,15,15,1,1,0,272
42336195.000,1,0,5,1,1,6,15,15,15,1,1,0,273
42368195.000,1,0,5,1,1,6,15,15,15,1,1,0,274
42400195.000,1,0,5,1,1,6,15,15,15,1,1,0,275
42432195.000,1,0,5,1,1,6,15,15,15,1,1,0,276
42464195.000,1,0,5,1,1,6,15,15,15,1,1,0,277
42496195.000,1,0,5,1,1,6,15,15,15,1,1,0,278
42528195.000,1,0,5,1,1,6,15,15,15,1,1,0,279
42560195.000,1,0,5,1,1,6,15,15,15,1,1,0,280
42592195.000,1,0,5,1,1,6,15,15,15,1,1,0,281
42624195.000,1,0,5,1,1,6,15,15,15,1,1,0,282
42656195.000,1,0,5,1,1,6,15,15,15,1,1,0,283
42688195.000,1,0,5,1,1,6,15,15,15,1,1,0,284
42720195.000,1,0,5,1,1,6,15,15,15,1,1,0,285
42752195.000,1,0,5,1,1,6,15,15,15,1,1,0,286
42784195.000,1,0,5,1,1,6,15,15,15,1,1,0,287
42816195.000,1,0,5,1,1,6,15,15,15,1,1,0,288
42848195.000,1,0,5,1,1,6,15,15,15,1,1,0,289
42880195.000,1,0,5,1,1,6,15,15,15,1,1,0,290
42912195.000,1,0,5,1,1,6,15,15,15,1,1,0,291
